"","n","std_dev","ula","lla","LoA_width","upper_95CI_bias","lower_95CI_bias","width_95CI_bias","ula_conf_u","ula_conf_l","ula_width","lla_conf_u","lla_conf_l","lla_width"
"46",55,0,0,0,0,2.00487928818806,-2.00487928818806,4.00975857637611,0,0,0,0,0,0
"47",56,0,0,0,0,2.00404478328915,-2.00404478328915,4.00808956657829,0,0,0,0,0,0
"48",57,0,0,0,0,2.00324071884787,-2.00324071884787,4.00648143769574,0,0,0,0,0,0
"49",58,0,0,0,0,2.00246545929101,-2.00246545929101,4.00493091858201,0,0,0,0,0,0
"50",59,0,0,0,0,2.00171748414524,-2.00171748414524,4.00343496829047,0,0,0,0,0,0
"51",60,0,0,0,0,2.00099537808827,-2.00099537808827,4.00199075617653,0,0,0,0,0,0
"52",10,1,1.96,-1.96,3.92,2.2621571627982,-2.2621571627982,4.52431432559641,3.19903450668646,0.720965493313537,2.47806901337293,-0.720965493313537,-3.19903450668646,2.47806901337293
"53",11,1,1.96,-1.96,3.92,2.22813885198627,-2.22813885198627,4.45627770397255,3.12360756549277,0.79639243450723,2.32721513098554,-0.79639243450723,-3.12360756549277,2.32721513098554
"54",12,1,1.96,-1.96,3.92,2.20098516009164,-2.20098516009164,4.40197032018328,3.06049258004582,0.859507419954181,2.20098516009164,-0.859507419954181,-3.06049258004582,2.20098516009164
"55",13,1,1.96,-1.96,3.92,2.17881282966723,-2.17881282966723,4.35762565933446,3.00666782770435,0.913332172295647,2.09333565540871,-0.913332172295647,-3.00666782770435,2.09333565540871
"56",14,1,1.96,-1.96,3.92,2.16036865646279,-2.16036865646279,4.32073731292558,2.96005636253594,0.959943637464063,2.00011272507187,-0.959943637464063,-2.96005636253594,2.00011272507187
"57",15,1,1.96,-1.96,3.92,2.1447866879178,-2.1447866879178,4.28957337583561,2.91917776628417,1.00082223371583,1.91835553256833,-1.00082223371583,-2.91917776628417,1.91835553256833
"58",16,1,1.96,-1.96,3.92,2.13144954555978,-2.13144954555978,4.26289909111955,2.88294472666978,1.03705527333022,1.84588945333956,-1.03705527333022,-2.88294472666978,1.84588945333956
"59",17,1,1.96,-1.96,3.92,2.11990529922125,-2.11990529922125,4.23981059844251,2.85053835115749,1.06946164884251,1.78107670231498,-1.06946164884251,-2.85053835115749,1.78107670231498
"60",18,1,1.96,-1.96,3.92,2.10981557783332,-2.10981557783332,4.21963115566663,2.82132860284448,1.09867139715552,1.72265720568896,-1.09867139715552,-2.82132860284448,1.72265720568896
